,t_in,t_corridor,t_hall,t_out,t_s,AC_power,Time
2019-01-01 00:05:00+09:00,21.94,16.8,17.03,3.16,13.98,575.0,2019-01-01 00:05:00+09:00
2019-01-01 00:10:00+09:00,21.95,16.79,17.02,3.22,13.95,574.0,2019-01-01 00:10:00+09:00
2019-01-01 00:15:00+09:00,21.95,16.77,17.0,3.27,13.92,573.0,2019-01-01 00:15:00+09:00
2019-01-01 00:20:00+09:00,21.95,16.76,16.99,3.33,13.89,572.0,2019-01-01 00:20:00+09:00
2019-01-01 00:25:00+09:00,21.96,16.75,16.98,3.39,13.87,571.0,2019-01-01 00:25:00+09:00
2019-01-01 00:30:00+09:00,21.96,16.73,16.97,3.45,13.84,569.0,2019-01-01 00:30:00+09:00
2019-01-01 00:35:00+09:00,21.96,16.72,16.96,3.51,13.81,568.0,2019-01-01 00:35:00+09:00
2019-01-01 00:40:00+09:00,21.96,16.71,16.95,3.57,13.79,563.0,2019-01-01 00:40:00+09:00
2019-01-01 00:45:00+09:00,21.97,16.7,16.94,3.62,13.77,561.0,2019-01-01 00:45:00+09:00
2019-01-01 00:50:00+09:00,21.97,16.69,16.93,3.68,13.74,560.0,2019-01-01 00:50:00+09:00
2019-01-01 00:55:00+09:00,21.97,16.68,16.92,3.74,13.72,558.0,2019-01-01 00:55:00+09:00
2019-01-01 01:00:00+09:00,22.01,16.67,16.92,3.8,13.7,551.0,2019-01-01 01:00:00+09:00
2019-01-01 01:05:00+09:00,22.01,16.66,16.91,3.78,13.68,550.0,2019-01-01 01:05:00+09:00
2019-01-01 01:10:00+09:00,22.02,16.65,16.9,3.77,13.66,548.0,2019-01-01 01:10:00+09:00
2019-01-01 01:15:00+09:00,22.02,16.64,16.9,3.75,13.64,547.0,2019-01-01 01:15:00+09:00
2019-01-01 01:20:00+09:00,22.02,16.64,16.89,3.73,13.63,547.0,2019-01-01 01:20:00+09:00
2019-01-01 01:25:00+09:00,22.01,16.63,16.88,3.72,13.61,546.0,2019-01-01 01:25:00+09:00
2019-01-01 01:30:00+09:00,22.01,16.62,16.88,3.7,13.59,546.0,2019-01-01 01:30:00+09:00
2019-01-01 01:35:00+09:00,22.01,16.61,16.87,3.68,13.57,545.0,2019-01-01 01:35:00+09:00
2019-01-01 01:40:00+09:00,22.0,16.6,16.86,3.67,13.55,546.0,2019-01-01 01:40:00+09:00
2019-01-01 01:45:00+09:00,22.0,16.6,16.86,3.65,13.53,546.0,2019-01-01 01:45:00+09:00
2019-01-01 01:50:00+09:00,22.0,16.59,16.85,3.63,13.51,546.0,2019-01-01 01:50:00+09:00
2019-01-01 01:55:00+09:00,21.99,16.58,16.84,3.62,13.49,547.0,2019-01-01 01:55:00+09:00
2019-01-01 02:00:00+09:00,21.99,16.57,16.83,3.6,13.47,547.0,2019-01-01 02:00:00+09:00
2019-01-01 02:05:00+09:00,21.99,16.56,16.83,3.54,13.45,549.0,2019-01-01 02:05:00+09:00
2019-01-01 02:10:00+09:00,21.98,16.55,16.82,3.48,13.43,551.0,2019-01-01 02:10:00+09:00
2019-01-01 02:15:00+09:00,21.98,16.54,16.81,3.42,13.41,552.0,2019-01-01 02:15:00+09:00
2019-01-01 02:20:00+09:00,21.98,16.53,16.8,3.37,13.39,554.0,2019-01-01 02:20:00+09:00
2019-01-01 02:25:00+09:00,21.97,16.52,16.79,3.31,13.37,556.0,2019-01-01 02:25:00+09:00
2019-01-01 02:30:00+09:00,21.97,16.51,16.78,3.25,13.35,558.0,2019-01-01 02:30:00+09:00
2019-01-01 02:35:00+09:00,21.97,16.5,16.77,3.19,13.33,561.0,2019-01-01 02:35:00+09:00
2019-01-01 02:40:00+09:00,21.97,16.49,16.76,3.13,13.31,563.0,2019-01-01 02:40:00+09:00
2019-01-01 02:45:00+09:00,21.96,16.48,16.75,3.07,13.28,565.0,2019-01-01 02:45:00+09:00
2019-01-01 02:50:00+09:00,21.96,16.46,16.74,3.02,13.26,568.0,2019-01-01 02:50:00+09:00
2019-01-01 02:55:00+09:00,21.96,16.45,16.73,2.96,13.24,570.0,2019-01-01 02:55:00+09:00
2019-01-01 03:00:00+09:00,21.96,16.44,16.71,2.9,13.21,573.0,2019-01-01 03:00:00+09:00
2019-01-01 03:05:00+09:00,21.96,16.43,16.7,2.92,13.19,575.0,2019-01-01 03:05:00+09:00
2019-01-01 03:10:00+09:00,21.96,16.41,16.69,2.95,13.16,576.0,2019-01-01 03:10:00+09:00
2019-01-01 03:15:00+09:00,21.96,16.4,16.68,2.97,13.14,577.0,2019-01-01 03:15:00+09:00
2019-01-01 03:20:00+09:00,21.96,16.39,16.67,3.0,13.12,578.0,2019-01-01 03:20:00+09:00
2019-01-01 03:25:00+09:00,21.96,16.38,16.66,3.02,13.1,579.0,2019-01-01 03:25:00+09:00
2019-01-01 03:30:00+09:00,21.97,16.36,16.65,3.05,13.08,580.0,2019-01-01 03:30:00+09:00
2019-01-01 03:35:00+09:00,21.97,16.35,16.63,3.07,13.06,581.0,2019-01-01 03:35:00+09:00
2019-01-01 03:40:00+09:00,21.97,16.34,16.62,3.1,13.04,581.0,2019-01-01 03:40:00+09:00
2019-01-01 03:45:00+09:00,21.97,16.33,16.61,3.12,13.02,582.0,2019-01-01 03:45:00+09:00
2019-01-01 03:50:00+09:00,21.97,16.32,16.61,3.15,13.0,582.0,2019-01-01 03:50:00+09:00
2019-01-01 03:55:00+09:00,21.98,16.31,16.6,3.17,12.99,582.0,2019-01-01 03:55:00+09:00
2019-01-01 04:00:00+09:00,21.98,16.3,16.59,3.2,12.97,583.0,2019-01-01 04:00:00+09:00
2019-01-01 04:05:00+09:00,21.98,16.29,16.58,3.18,12.96,584.0,2019-01-01 04:05:00+09:00
2019-01-01 04:10:00+09:00,21.98,16.28,16.57,3.17,12.94,584.0,2019-01-01 04:10:00+09:00
2019-01-01 04:15:00+09:00,21.98,16.27,16.56,3.15,12.92,585.0,2019-01-01 04:15:00+09:00
2019-01-01 04:20:00+09:00,21.98,16.27,16.56,3.13,12.91,586.0,2019-01-01 04:20:00+09:00
2019-01-01 04:25:00+09:00,21.98,16.26,16.55,3.12,12.89,587.0,2019-01-01 04:25:00+09:00
2019-01-01 04:30:00+09:00,21.98,16.25,16.54,3.1,12.88,588.0,2019-01-01 04:30:00+09:00
2019-01-01 04:35:00+09:00,21.98,16.24,16.53,3.08,12.86,589.0,2019-01-01 04:35:00+09:00
2019-01-01 04:40:00+09:00,21.98,16.23,16.53,3.07,12.85,591.0,2019-01-01 04:40:00+09:00
2019-01-01 04:45:00+09:00,21.98,16.22,16.52,3.05,12.83,592.0,2019-01-01 04:45:00+09:00
2019-01-01 04:50:00+09:00,21.98,16.21,16.51,3.03,12.81,593.0,2019-01-01 04:50:00+09:00
2019-01-01 04:55:00+09:00,21.98,16.21,16.5,3.02,12.8,594.0,2019-01-01 04:55:00+09:00
2019-01-01 05:00:00+09:00,21.98,16.2,16.49,3.0,12.78,595.0,2019-01-01 05:00:00+09:00
2019-01-01 05:05:00+09:00,21.98,16.19,16.49,2.95,12.77,596.0,2019-01-01 05:05:00+09:00
2019-01-01 05:10:00+09:00,21.98,16.18,16.48,2.9,12.75,597.0,2019-01-01 05:10:00+09:00
2019-01-01 05:15:00+09:00,21.98,16.17,16.47,2.85,12.73,599.0,2019-01-01 05:15:00+09:00
