,,1,2,3,4,5,6
0:00,1:00,1,1,0.5,1,1,0.5
1:00,2:00,1,1,0.5,1,1,0.5
2:00,3:00,1,1,0.5,1,1,0.5
3:00,4:00,1,1,0.5,1,1,0.5
4:00,5:00,1,1,0.5,1,1,0.5
5:00,6:00,1,1,0.5,1,1,0.5
6:00,7:00,1,1,0.5,1,1,0.5
7:00,8:00,0.75,1,0.5,0.75,1,0.5
8:00,9:00,0.75,1,0.5,0.75,1,0.5
9:00,10:00,0.5,1,0.5,0.5,1,0.5
10:00,11:00,0.5,1,0.5,0.5,1,0.5
11:00,12:00,0.5,1,0.5,0.5,1,0.5
12:00,13:00,0,1,0.5,0,1,0.5
13:00,14:00,0,1,0.5,0,1,0.5
14:00,15:00,0.5,1,0.5,0.5,1,0.5
15:00,16:00,0.75,1,0.5,0.75,1,0.5
16:00,17:00,0.75,1,0.5,0.75,1,0.5
17:00,18:00,1,1,0.5,1,1,0.5
18:00,19:00,1,1,0.5,1,1,0.5
19:00,20:00,1,1,0.5,1,1,0.5
20:00,21:00,1,1,0.5,1,1,0.5
21:00,22:00,1,1,0.5,1,1,0.5
22:00,23:00,1,1,0.5,1,1,0.5
23:00,24:00:00,1,1,0.5,1,1,0.5
